assetcode;title;offdaystradingpricerangeshift;offdaystradingrangecs
KOREA;на акции инвестиционного фонда MSCI South Korea ETF;0.04;1.8
KZT;на курс казахстанский тенге – российский рубль;0.03;1.8
LEAS;"Фьючерсный контракт на обыкновенные акции ПАО ""ЛК ""Европлан""";0.03;1.8
LENT;"Фьючерсный контракт  на обыкновенные акции МКПАО ""Лента""";0.03;1.8
LKOH;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""";0.03;1.8
MAGN;"Фьючерсный контракт на обыкновенные акции ПАО ""ММК""";0.03;1.8
MDMG;Фьючерсный контракт на обыкновенные акции МКПАО «МД Медикал Груп»;0.03;1.8
MGNT;"Фьючерсный контракт на обыкновенные акции ПАО ""Магнит""";0.03;1.8
MIX;Фьючерсный контракт на Индекс МосБиржи;0.03;1.8
MMI;Фьючерсный контракт на Индекс Металлов и добычи;0.03;1.8
MOEX;Фьючерсный контракт на обыкновенные акции ПАО Московская Биржа;0.03;1.8
MOEXCNY;Фьючерсный контракт на Индекс МосБиржи в юанях;0.03;1.8
MSNG;"Фьючерсный контракт на обыкновенные акции ПАО ""Мосэнерго""";0.03;1.8
MTLR;"Фьючерсный контракт на обыкновенные акции ПАО ""Мечел""";0.03;1.8
MTSI;"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""";0.03;1.8
MVID;"Фьючерсный контракт на обыкновенные акции ПАО ""М.видео""";0.03;1.8
MXI;Фьючерсный контракт на Индекс МосБиржи (мини);0.03;1.8
NASD;Фьючерсный контракт на инвестиционные паи QQQ ETF Trust;1.0;1.8
NG;Фьючерсный контракт на природный газ Генри Хаб;1.0;1.8
NGM;Фьючерсный контракт на природный газ Генри Хаб (микро);1.0;1.8
NICKEL;Фьючерсный контракт на никель;0.05;1.8
NIKK;Фьючерсный контракт на акции инвестиционного фонда Nikkei 225 ETF;0.05;1.8
NLMK;"Фьючерсный контракт на обыкновенные акции ПАО ""НЛМК""";0.03;1.8
NOTK;"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""";0.03;1.8
NOTKM;"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК"" (мини)";0.03;1.8
NOVARTIS;Фьючерсный контракт на АДР на акции Новартис АГ;0.04;1.8
OGI;Фьючерсный контракт на Индекс Нефти и газа;0.03;1.8
ORANGE;Фьючерсный контракт на апельсиновый сок;0.05;1.8
OZON;"Фьючерсный контракт на обыкновенные акции МКПАО ""ОЗОН""";0.03;1.8
PDD;Фьючерсный контракт на АДР на акции PDD Holdings Inc;0.15;1.8
PHOR;"Фьючерсный контракт на обыкновенные акции ПАО ""ФосАгро""";0.03;1.8
PIKK;"Фьючерсный контракт на обыкновенные акции ПАО ""ПИК СЗ""";0.03;1.8
PLD;Фьючерсный контракт на аффинированный палладий в слитках;1.0;1.8
PLDM;Фьючерсный контракт на палладий (мини);1.0;1.8
PLT;Фьючерсный контракт на аффинированную платину в слитках;1.0;1.8
PLTM;Фьючерсный контракт на платину (мини);1.0;1.8
PLZL;"Фьючерсный контракт на обыкновенные акции ПАО ""Полюс""";0.03;1.8
PLZLM;"Фьючерсный контракт на обыкновенные акции ПАО ""Полюс"" (мини)";0.03;1.8
POSI;"Фьючерсный контракт на обыкновенные акции ПАО ""Группа Позитив""";0.03;1.8
